PDFIndex,10DigitBBl,StreetNumber,StreetName,DOFGrossSquareFootage,EnergyStar1-100Score,EnergyEfficiencyGrade
353,1007870001,540,8 AVENUE,225858,91,A
354,1007870011,247,WEST 37 STREET,214130,94,A
355,1007870020,241,WEST 37 STREET,87802,98,A
356,1007870025,225,WEST 37 STREET,163103,98,A
357,1007870059,230,WEST 38 STREET,137887,94,A
358,1007870065,242,WEST 38 STREET,47661,95,A
359,1007870076,262,WEST 38 STREET,95491,92,A
360,1007880004,580,8 AVENUE,72649,85,A
361,1007880011,263,WEST 38 STREET,146377,90,A
362,1007880037,209,WEST 38 STREET,144635,94,A
363,1007880049,530,7 AVENUE,408130,91,A
364,1007880064,230,WEST 39 STREET,59488,91,A
365,1007880066,234,WEST 39 STREET,81763,88,A
366,1007880071,244,WEST 39 STREET,47110,93,A
367,1007880073,250,WEST 39 STREET,181921,99,A
368,1007880078,260,WEST 39 STREET,154516,96,A
369,1007887501,214,WEST 39 STREET,189104,92,A
370,1007890014,251,WEST 39 STREET,108025,90,A
371,1007890021,231,WEST 39 STREET,218558,94,A
372,1007890036,550,7 AVENUE,225981,90,A
373,1007910009,155,WEST 15 STREET,49880,91,A
374,1007910016,143,WEST 15 STREET,27353,86,A
375,1007910050,114,WEST 16 STREET,32736,92,A
376,1007920020,125,WEST 16 STREET,39504,92,A
377,1007920024,115,WEST 16 STREET,39264,89,A
378,1007920028,111,WEST 16 STREET,39455,90,A
379,1007927504,101,7 AVENUE,196020,88,A
380,1007947501,130,WEST 19 STREET,118000,86,A
381,1007947504,155,WEST 18 STREET,79813,100,A
382,1007950020,133,WEST 19 STREET,33210,88,A
383,1007950028,111,WEST 19 STREET,165513,87,A
384,1007960001,171,7 AVENUE,62158,100,A
385,1007960048,120,WEST 21 STREET,174621,86,A
386,1007960067,150,WEST 21 STREET,48249,93,A
387,1007970007,163,WEST 21 STREET,128163,86,A
388,1007970037,675,AVENUE OF THE AMERICAS,237000,86,A
389,1007970070,150,WEST 22 STREET,73611,88,A
390,1007970076,162,WEST 22 STREET,31759,89,A
391,1007977502,126,WEST 22 STREET,63015,92,A
392,1007977508,151,WEST 21 STREET,65823,97,A
393,1007990003,229,7 AVENUE,212134,97,A
394,1007990012,155,WEST 23 STREET,68940,87,A
395,1008000057,130,WEST 25 STREET,49237,85,A
396,1008000059,134,WEST 25 STREET,26905,96,A
397,1008000061,138,WEST 25 STREET,96000,95,A
398,1008010008,159,WEST 25 STREET,86027,99,A
399,1008010014,147,WEST 25 STREET,41579,92,A
400,1008010019,133,WEST 25 STREET,45449,99,A
401,1008010024,119,WEST 25 STREET,113062,89,A
402,1008010049,110,WEST 26 STREET,26027,91,A
403,1008010051,114,WEST 26 STREET,97005,92,A
404,1008010055,122,WEST 26 STREET,75888,86,A
405,1008010065,142,WEST 26 STREET,52543,89,A
